,Time,Sample#,Result
0,0:00.050,18,+
1,0:00.214,77,N
2,0:01.028,370,N
3,0:01.839,662,N
4,0:02.628,946,N
5,0:03.419,1231,N
6,0:04.208,1515,N
7,0:05.025,1809,N
8,0:05.678,2044,A
9,0:06.672,2402,N
10,0:07.517,2706,N
11,0:08.328,2998,N
12,0:09.117,3282,N
13,0:09.889,3560,N
14,0:10.728,3862,N
15,0:11.583,4170,N
16,0:12.406,4466,N
17,0:13.233,4764,N
18,0:14.056,5060,N
19,0:14.850,5346,N
20,0:15.647,5633,N
21,0:16.439,5918,N
22,0:17.261,6214,N
23,0:18.131,6527,N
24,0:18.953,6823,N
25,0:19.739,7106,N
26,0:20.531,7391,N
27,0:21.306,7670,N
28,0:22.092,7953,N
29,0:22.903,8245,N
30,0:23.719,8539,N
31,0:24.547,8837,N
32,0:25.392,9141,N
33,0:26.197,9431,N
34,0:26.972,9710,N
35,0:27.772,9998,N
36,0:28.561,10282,N
37,0:29.419,10591,N
38,0:30.261,10894,N
39,0:31.086,11191,N
40,0:31.889,11480,N
41,0:32.725,11781,N
42,0:33.517,12066,N
43,0:34.306,12350,N
44,0:35.125,12645,N
45,0:35.969,12949,N
46,0:36.850,13266,N
47,0:37.672,13562,N
48,0:38.450,13842,N
49,0:39.253,14131,N
50,0:40.064,14423,N
51,0:40.861,14710,N
52,0:41.697,15011,N
53,0:42.528,15310,N
54,0:43.353,15607,N
55,0:44.164,15899,N
56,0:44.953,16183,N
57,0:45.733,16464,N
58,0:46.542,16755,N
59,0:47.383,17058,N
60,0:48.217,17358,N
61,0:49.047,17657,N
62,0:49.853,17947,N
63,0:50.631,18227,N
64,0:51.428,18514,N
65,0:52.208,18795,N
66,0:53.000,19080,N
67,0:53.856,19388,N
68,0:54.703,19693,N
69,0:55.525,19989,N
70,0:56.308,20271,N
71,0:57.094,20554,N
72,0:57.881,20837,N
73,0:58.697,21131,N
74,0:59.508,21423,N
75,1:00.358,21729,N
76,1:01.192,22029,N
77,1:02.003,22321,N
78,1:02.786,22603,N
79,1:03.558,22881,N
80,1:04.344,23164,N
81,1:05.147,23453,N
82,1:05.989,23756,N
83,1:06.814,24053,N
84,1:07.625,24345,N
85,1:08.403,24625,N
86,1:09.203,24913,N
87,1:09.992,25197,N
88,1:10.792,25485,N
89,1:11.608,25779,N
90,1:12.467,26088,N
91,1:13.297,26387,N
92,1:14.083,26670,N
93,1:14.867,26952,N
94,1:15.658,27237,N
95,1:16.489,27536,N
96,1:17.314,27833,N
97,1:18.144,28132,N
98,1:18.975,28431,N
99,1:19.797,28727,N
100,1:20.594,29014,N
101,1:21.372,29294,N
102,1:22.167,29580,N
103,1:22.981,29873,N
104,1:23.839,30182,N
105,1:24.686,30487,N
106,1:25.497,30779,N
107,1:26.292,31065,N
108,1:27.078,31348,N
109,1:27.875,31635,N
110,1:28.686,31927,N
111,1:29.511,32224,N
112,1:30.358,32529,N
113,1:31.211,32836,N
114,1:32.019,33127,N
115,1:32.786,33403,N
116,1:33.586,33691,N
117,1:34.389,33980,N
118,1:35.206,34274,N
119,1:36.042,34575,N
120,1:36.861,34870,N
121,1:37.689,35168,N
122,1:38.486,35455,N
123,1:39.267,35736,N
124,1:40.044,36016,N
125,1:40.858,36309,N
126,1:41.681,36605,N
127,1:42.544,36916,N
128,1:43.375,37215,N
129,1:44.164,37499,N
130,1:44.950,37782,N
131,1:45.753,38071,N
132,1:46.544,38356,N
133,1:47.364,38651,N
134,1:48.194,38950,N
135,1:49.033,39252,N
136,1:49.853,39547,N
137,1:50.625,39825,N
138,1:51.378,40096,N
139,1:52.172,40382,N
140,1:52.992,40677,N
141,1:53.806,40970,N
142,1:54.642,41271,N
143,1:55.464,41567,N
144,1:56.247,41849,N
145,1:56.992,42117,N
146,1:57.822,42416,N
147,1:58.603,42697,N
148,1:59.433,42996,N
149,2:00.297,43307,N
150,2:01.119,43603,N
151,2:01.922,43892,N
152,2:02.700,44172,N
153,2:03.486,44455,N
154,2:04.286,44743,N
155,2:05.083,45030,N
156,2:05.897,45323,N
157,2:06.744,45628,N
158,2:07.569,45925,N
159,2:08.344,46204,N
160,2:09.106,46478,N
161,2:09.886,46759,N
162,2:10.658,47037,N
163,2:11.483,47334,N
164,2:12.311,47632,N
165,2:13.108,47919,N
166,2:13.894,48202,N
167,2:14.683,48486,N
168,2:15.461,48766,N
169,2:16.222,49040,N
170,2:17.008,49323,N
171,2:17.828,49618,N
172,2:18.675,49923,N
173,2:19.483,50214,N
174,2:20.253,50491,N
175,2:21.031,50771,N
176,2:21.822,51056,N
177,2:22.608,51339,N
178,2:23.406,51626,N
179,2:24.225,51921,N
180,2:25.044,52216,N
181,2:25.850,52506,N
182,2:26.622,52784,N
183,2:27.397,53063,N
184,2:28.169,53341,N
185,2:28.975,53631,N
186,2:29.786,53923,N
187,2:30.608,54219,N
188,2:31.408,54507,N
189,2:32.178,54784,N
190,2:32.956,55064,N
191,2:33.731,55343,N
192,2:34.514,55625,N
193,2:35.300,55908,N
194,2:36.131,56207,N
195,2:36.950,56502,N
196,2:37.733,56784,N
197,2:38.486,57055,N
198,2:39.258,57333,N
199,2:40.042,57615,N
200,2:40.833,57900,N
201,2:41.644,58192,N
202,2:42.472,58490,N
203,2:43.300,58788,N
204,2:44.103,59077,N
205,2:44.872,59354,N
206,2:45.642,59631,N
207,2:46.442,59919,N
208,2:47.261,60214,N
209,2:48.097,60515,N
210,2:48.936,60817,N
211,2:49.736,61105,N
212,2:50.531,61391,N
213,2:51.333,61680,N
214,2:52.119,61963,N
215,2:52.908,62247,N
216,2:53.742,62547,N
217,2:54.589,62852,N
218,2:55.428,63154,N
219,2:56.217,63438,N
220,2:56.975,63711,N
221,2:57.772,63998,N
222,2:58.578,64288,N
223,2:59.392,64581,N
224,3:00.211,64876,N
225,3:01.039,65174,N
226,3:01.844,65464,N
227,3:02.639,65750,N
228,3:03.417,66030,N
229,3:04.186,66307,N
230,3:05.011,66604,N
231,3:05.533,66792,A
232,3:06.472,67130,N
233,3:07.317,67434,N
234,3:08.133,67728,N
235,3:08.908,68007,N
