,File,Abnormal,Result,R-R Interval,R Height,R_Onset-Rpeak,Q-Q Interval,Q Height,P_Onset-P_Offset,P Height,P-P Interval,P_Onset-Ppeak
34469,121,0,N,373,990,40,371,827,23,840,373,17
64511,220,0,N,309,1225,33,311,906,33,929,312,17
34062,121,0,N,362,1041,22,362,856,24,868,369,3
55156,212,1,N,227,1275,47,229,931,33,1000,225,17
46828,205,0,N,267,1193,17,266,948,38,970,266,15
2729,101,0,N,390,1277,19,389,947,47,991,392,22
12308,106,0,N,330,1424,36,329,955,29,1031,329,14
11772,106,1,V,188,1205,28,158,960,64,1115,131,34
10988,105,0,N,232,1273,18,210,1005,40,1066,232,29
73812,230,0,N,327,1290,23,336,940,37,981,327,17
78900,233,0,N,215,1357,44,218,1012,40,1099,215,19
80785,234,0,N,234,1356,40,235,986,40,1042,238,22
53467,212,1,N,244,1252,47,246,964,34,1027,246,17
31301,118,1,N,244,1172,19,237,857,17,981,247,10
80977,234,0,N,230,1318,45,236,958,40,1014,233,18
39235,124,1,N,375,1420,45,383,966,20,999,391,5
58762,213,0,N,207,1419,22,205,869,30,953,205,16
47495,208,0,N,186,1332,17,177,984,35,1030,185,16
9008,104,1,Q,287,1081,14,265,968,20,980,287,10
36964,122,0,N,239,1176,22,241,793,40,886,245,20
75076,230,0,N,264,1333,21,267,935,41,998,260,19
69168,223,0,N,254,1144,25,251,957,49,1006,250,27
65414,220,0,N,298,1302,34,300,891,36,915,209,30
71126,228,0,N,307,1209,27,306,970,22,1048,292,9
48725,208,0,N,197,1282,15,195,903,27,943,196,12
1436,100,0,N,284,1235,19,283,937,42,988,282,17
38218,123,0,N,343,1259,23,337,843,42,896,343,19
10381,105,0,N,258,1271,19,261,956,36,1015,262,22
64158,219,0,N,294,1377,19,296,925,36,971,293,14
15535,109,1,N,254,1293,28,243,967,15,1017,243,8
61889,215,0,N,178,1170,15,161,967,15,1001,180,8
63992,219,0,N,306,1359,21,306,932,44,1001,302,20
65478,220,0,N,309,1250,31,310,896,31,917,309,13
69646,223,0,N,260,1331,27,255,932,47,972,258,28
19263,111,1,N,291,1055,14,293,932,49,965,291,15
75329,231,1,N,361,1320,18,361,922,37,995,358,19
4610,102,1,Q,297,1127,18,262,951,22,966,297,5
60932,215,0,N,182,1168,16,186,962,37,989,180,17
9191,105,0,N,270,1281,20,270,970,34,1028,272,21
13482,106,0,N,396,1423,37,397,979,32,1034,398,17
40853,200,0,N,242,1220,16,259,985,31,1035,242,22
29202,117,0,N,406,849,59,418,831,40,877,404,18
19321,111,1,N,286,1179,14,250,985,46,1008,285,19
17609,109,1,N,265,1510,28,262,945,31,981,265,17
28301,116,0,N,257,1120,18,254,792,40,845,261,19
13424,106,0,N,396,1418,18,395,974,28,1024,469,14
41857,201,0,N,374,1187,66,351,969,39,1002,346,20
48943,208,0,N,206,1317,28,207,1006,27,1030,209,15
28817,117,0,N,429,856,57,432,810,42,850,432,22
18520,111,1,N,313,1118,13,314,992,44,998,310,16
73897,230,0,N,312,1375,15,312,975,38,1014,313,18
24579,115,0,N,313,1365,28,302,898,39,931,312,21
62516,215,0,N,197,1164,27,196,979,38,1011,208,17
45277,205,0,N,240,1159,18,241,944,38,979,241,17
59462,214,1,N,291,1434,23,292,982,40,1005,291,22
14020,108,0,N,372,893,13,375,959,35,1011,380,20
16369,109,1,N,271,1315,28,270,967,14,1012,262,9
67048,222,0,N,287,1043,14,299,964,34,1007,290,18
1469,100,0,N,298,1245,19,298,924,27,987,295,20
14771,108,0,N,360,893,12,372,975,39,1037,363,24
70171,223,0,N,259,1316,53,262,909,40,952,258,23
45010,205,0,N,244,1178,20,241,971,40,995,242,17
23341,114,0,N,315,998,9,315,1007,26,1019,318,17
80784,234,0,N,233,1367,20,234,993,40,1052,233,20
32896,119,0,N,268,1237,17,250,834,16,873,198,9
82271,234,0,N,236,1333,39,237,972,30,1016,240,15
55594,212,0,N,259,1243,47,259,901,36,963,259,21
16021,109,1,N,276,1335,28,272,967,23,1019,282,6
68366,222,0,N,258,1109,14,260,975,59,969,253,30
21948,112,0,N,265,1016,23,265,861,41,894,265,14
60616,215,0,N,205,1196,20,205,954,20,1001,199,10
66894,222,0,N,258,1083,16,256,964,31,1019,257,14
47018,207,1,V,212,961,48,216,955,126,1013,229,82
38190,123,0,N,413,1204,26,408,820,46,873,412,22
78045,232,1,S,259,1104,26,250,985,17,998,256,11
39397,124,1,N,406,1335,18,423,878,19,897,408,7
29952,118,1,N,274,1224,26,272,891,25,984,285,17
3044,101,0,N,358,1334,19,359,958,36,1015,354,13
13216,106,0,N,349,1383,37,345,984,30,1054,350,14
61282,215,0,N,202,1142,18,210,955,30,981,204,18
29585,118,1,N,296,1140,23,309,835,26,903,298,20
34467,121,0,N,378,1005,26,373,838,39,853,382,18
25158,115,0,N,314,1322,18,311,892,35,927,319,19
77316,232,1,S,246,1138,24,241,1003,22,1014,263,14
25203,115,0,N,321,1344,64,323,862,50,902,324,18
14340,108,0,N,370,1153,30,361,981,38,1036,366,22
68586,223,0,N,275,1293,24,284,896,32,933,278,13
54967,212,1,N,223,1334,48,223,1007,37,1071,220,19
74778,230,0,N,250,1477,63,247,969,40,1013,248,18
70900,228,1,V,206,1050,105,193,952,135,1055,187,50
81211,234,0,N,236,1400,47,235,1033,36,1085,234,17
51488,209,0,N,242,1240,17,225,934,47,961,242,16
38794,123,0,N,360,1233,28,360,808,44,861,360,19
46590,205,0,N,261,1186,16,261,952,39,973,263,17
7920,104,1,Q,292,989,28,267,934,13,965,267,6
54582,212,1,N,263,1254,50,267,961,35,1039,263,19
61659,215,0,N,183,1225,19,167,958,26,1005,174,11
12751,106,0,N,260,1191,35,255,985,33,1018,320,18
70394,223,1,V,177,1071,18,192,902,48,922,171,42
61936,215,0,N,208,1195,18,191,979,19,1004,201,11
41013,201,0,N,202,1191,36,192,978,37,1008,182,20
17741,111,1,N,309,1201,13,315,982,50,1011,306,18
249,100,0,N,286,1240,19,286,929,25,990,284,20
9565,105,0,N,265,1266,20,267,949,35,1006,265,20
80623,234,0,N,231,1367,48,232,1000,40,1059,227,20
15770,109,1,N,231,1241,26,234,961,30,1013,231,8
67699,222,0,N,394,1207,43,420,1035,33,1061,439,16
9945,105,0,N,274,1280,21,275,962,37,1019,275,21
54026,212,1,N,239,1257,15,234,960,35,1036,236,18
933,100,0,N,282,1206,19,282,907,29,974,283,25
57506,213,0,N,202,1462,24,208,926,31,999,200,18
76944,231,1,N,318,1315,17,317,958,35,1030,317,18
72416,228,1,S,265,1156,24,263,932,34,1022,268,15
31375,118,1,N,255,1144,33,247,851,25,932,248,16
81100,234,0,N,235,1317,20,235,938,37,986,235,18
182,100,0,N,278,1196,19,278,920,24,984,276,19
37658,123,0,N,420,1238,25,420,827,44,880,420,19
61166,215,0,N,178,1166,16,171,960,35,989,178,13
76800,231,1,N,330,1306,17,330,943,37,1003,328,19
48139,208,1,F,218,1441,48,204,986,32,1022,216,17
8747,104,1,Q,293,1053,62,286,964,12,980,249,2
63713,219,1,V,205,1284,8,195,753,45,911,208,38
4371,102,1,Q,304,1178,24,278,946,49,960,303,12
52799,210,0,N,186,1181,27,160,983,42,996,219,24
69320,223,0,N,304,823,51,316,751,49,803,300,18
9503,105,0,N,266,1267,21,262,954,37,1022,266,22
77652,232,1,N,705,1128,24,767,951,13,977,693,5
83255,234,0,N,243,1378,38,250,985,36,1038,244,18
26875,116,0,N,273,1479,44,276,767,26,823,271,8
81845,234,1,S,192,1316,19,189,979,26,1007,192,18
1058,100,0,N,309,1206,24,307,908,26,980,306,21
15171,108,0,N,319,1183,31,335,997,38,1046,319,21
48613,208,1,F,190,1285,41,181,862,35,892,194,19
25429,115,0,N,308,1365,27,303,897,45,935,306,27
50164,209,0,N,220,1145,17,230,916,45,962,231,17
27415,116,0,N,266,1276,43,261,774,43,825,267,22
81299,234,0,N,223,1350,41,224,1009,31,1068,222,12
52060,209,0,N,206,1221,16,207,965,18,1013,202,9
36367,122,0,N,248,1197,23,247,820,49,902,246,20
36983,122,0,N,248,1225,24,248,837,40,919,248,16
74064,230,0,N,272,1283,28,267,952,37,994,274,16
49373,209,0,N,222,1241,16,222,959,37,994,220,19
83281,234,0,N,252,1332,46,253,949,37,1009,252,18
23629,114,0,N,322,1020,7,324,975,28,999,312,20
12376,106,0,N,289,1404,37,290,960,30,1024,288,16
34530,121,0,N,362,1033,23,360,861,27,871,361,7
43289,203,0,N,168,1332,34,186,1015,32,1031,161,15
2473,101,0,N,331,1267,18,315,977,34,1008,331,23
44429,205,0,N,244,1177,20,242,923,45,947,243,21
66612,222,0,N,297,1169,15,294,979,35,1037,292,16
81297,234,0,N,240,1346,46,242,1004,39,1063,241,19
67087,222,0,N,371,1174,38,358,997,27,1020,415,14
25137,115,0,N,356,1354,18,348,907,38,943,351,19
23102,114,0,N,379,1090,38,387,975,20,990,375,9
20776,112,0,N,260,1064,19,255,899,45,938,262,26
24240,115,0,N,337,1291,21,327,866,39,902,335,20
68789,223,0,N,265,1212,24,269,878,34,920,266,13
26727,116,0,N,257,1481,42,252,776,44,832,258,23
52906,210,0,N,254,1252,46,264,981,50,998,268,32
33165,119,0,N,323,1247,20,322,825,35,896,319,20
35022,121,0,N,303,1000,41,304,822,23,851,299,18
23521,114,0,N,324,997,9,323,998,27,1013,326,16
74308,230,0,N,250,1421,57,251,958,51,1014,244,21
73842,230,0,N,322,1267,18,336,947,40,983,326,21
51177,209,0,N,220,1210,16,222,952,26,991,221,16
47473,208,1,V,170,1256,49,159,999,56,1055,137,32
30863,118,1,N,317,1090,29,300,868,24,933,314,18
16434,109,1,N,270,1340,28,276,963,14,1017,266,7
28842,117,0,N,430,849,55,433,806,44,839,434,23
64737,220,0,N,287,1383,24,286,883,45,927,211,35
73677,230,0,N,343,1342,14,345,960,38,993,346,19
81762,234,0,N,237,1332,44,238,959,37,1025,241,19
76445,231,1,N,331,1275,17,331,921,37,990,324,20
66901,222,0,N,382,1161,41,370,1017,35,1039,411,18
39190,124,1,N,383,1185,18,381,751,28,779,384,21
53477,212,1,N,223,1273,46,223,955,32,1015,226,17
83170,234,0,N,235,1229,22,236,831,36,879,238,19
31925,119,0,N,319,1301,18,310,852,35,944,317,19
66952,222,0,N,207,1121,14,247,974,21,1004,200,10
45423,205,0,N,242,1204,17,258,970,39,999,243,19
13707,107,1,Q,301,1281,23,281,875,57,990,251,17
39097,124,1,N,429,1274,17,415,846,27,868,421,20
17208,109,1,N,264,1335,26,271,962,13,1010,272,9
49406,209,0,N,233,1226,18,233,952,47,983,235,14
74169,230,0,N,321,1248,20,334,923,38,962,326,17
78307,232,1,S,274,1121,20,275,967,26,979,247,11
14427,108,0,N,370,1135,28,366,978,38,1032,375,23
49550,209,0,N,224,1173,16,212,923,43,953,216,16
81282,234,0,N,236,1327,22,236,968,42,1028,233,21
49151,208,1,V,170,1250,30,157,953,12,962,168,2
74028,230,0,N,307,1317,13,306,970,35,1007,307,17
70954,228,0,N,206,1162,28,255,963,28,1014,154,12
19648,111,1,N,318,1144,14,318,1019,42,1002,319,18
35850,122,0,N,283,1181,25,280,784,44,881,280,18
40935,200,0,N,236,1172,20,237,991,32,1008,234,21
82630,234,0,N,255,1272,21,255,940,37,989,253,17
22409,114,0,N,401,927,11,376,984,33,1008,406,22
36648,122,0,N,285,1192,24,285,799,47,879,287,19
18166,111,1,N,308,1146,16,307,1023,33,987,318,22
45107,205,0,N,231,1155,17,231,939,42,973,231,18
55783,212,0,N,238,1332,47,235,927,33,996,241,18
48852,208,0,N,272,1311,17,286,957,34,997,282,17
80955,234,0,N,229,1306,22,230,920,38,989,229,19
46724,205,0,N,262,1194,18,264,961,38,992,263,18
16038,109,1,N,265,1281,25,265,955,15,1009,265,10
19891,112,0,N,250,1025,22,254,849,47,886,251,27
81383,234,0,N,228,1333,22,228,979,36,1038,227,18
35246,122,0,N,234,1150,23,235,780,61,861,235,21
48358,208,0,N,235,1314,25,234,966,34,997,231,19
24784,115,0,N,319,1314,20,322,870,39,914,315,18
59067,214,1,N,263,1374,25,259,969,41,983,257,15
80363,233,0,N,206,1415,19,204,1035,45,1095,208,26
31943,119,0,N,333,1272,20,334,814,35,904,335,20
8071,104,1,Q,276,1078,15,275,949,24,994,292,7
39837,200,0,N,251,1252,21,268,998,35,1011,260,23
39761,124,1,N,365,1245,19,360,848,23,876,363,8
24023,114,0,N,311,1115,7,323,1028,19,1050,236,6
24807,115,0,N,319,1270,19,322,835,36,871,324,19
28370,116,0,N,263,1057,19,252,738,47,800,262,27
42252,201,0,N,286,1190,25,268,969,37,987,325,11
46817,205,0,N,267,1188,18,266,946,37,969,268,18
70743,223,1,V,177,1081,18,190,901,27,917,180,7
1804,100,0,N,296,1268,18,297,933,25,999,299,19
754,100,0,N,273,1180,18,273,914,20,978,274,5
31218,118,1,N,299,1082,30,295,847,29,910,302,20
45020,205,0,N,235,1193,23,231,952,37,983,236,18
19240,111,1,N,293,1102,16,292,963,47,987,299,17
1062,100,0,N,284,1199,19,284,913,51,985,281,37
69552,223,1,S,186,1324,39,191,910,54,967,177,35
13602,106,0,N,411,1386,32,426,965,31,1020,455,16
40028,200,0,N,237,1164,21,234,923,21,965,262,10
75641,231,0,N,351,1366,17,370,942,40,1013,392,20
24361,115,0,N,381,1429,25,374,972,23,996,381,5
22077,112,0,N,253,1032,19,253,867,42,905,252,18
30156,118,1,N,315,1121,26,314,827,24,908,311,14
36914,122,0,N,259,1222,23,259,822,43,917,259,19
25588,115,0,N,265,1308,23,265,850,38,882,265,20
8944,104,1,Q,305,1111,20,304,947,16,958,322,3
22228,112,0,N,262,1009,17,264,857,47,902,262,26
27413,116,0,N,267,1198,43,265,775,39,822,267,20
63222,217,1,Q,294,1053,46,310,948,17,955,351,11
63888,219,0,N,271,1409,29,271,1137,34,1184,302,14
46337,205,0,N,256,1178,18,256,959,35,984,259,16
75051,230,0,N,253,1261,29,241,935,39,983,249,18
29899,118,1,V,197,1179,17,210,829,27,908,173,16
32975,119,1,V,191,1406,27,159,827,70,926,161,44
43274,203,0,N,31,1137,16,73,918,57,1007,54,32
9562,105,0,N,248,1243,19,251,928,35,983,250,21
2835,101,0,N,330,1300,22,329,935,36,971,328,11
62657,215,0,N,182,1184,19,183,967,34,994,179,16
69236,223,0,N,252,1125,29,245,931,37,968,247,16
9467,105,0,N,256,1287,20,256,968,41,1020,256,25
69899,223,0,N,256,1255,27,255,914,49,951,254,29
29072,117,0,N,431,1001,59,433,884,40,925,434,20
41885,201,1,S,193,1085,14,215,1048,29,1029,163,8
35018,121,0,N,305,1034,18,305,862,35,881,295,14
5443,102,1,Q,300,1168,25,313,971,29,984,333,14
64492,220,0,N,306,1277,33,303,898,32,931,303,15
44361,203,0,N,319,1142,12,271,972,27,983,365,18
68457,222,0,N,224,1168,47,262,987,41,1037,217,13
42584,202,0,N,574,1342,31,566,1042,41,1060,555,19
56319,213,0,N,203,1434,25,208,906,31,992,200,17
680,100,0,N,291,1206,20,292,918,30,987,291,22
