,Result,Target,PR_Interval,RR_Interval,RS_Interval
1,j,1,0,0,3699.119444
2,N,0,0.052777778,0.108333333,0.230555556
3,(AFIB,1,0.077777778,0.3,-4136.461111
4,j,1,0,0,3924.05
5,(AFL,1,0.061111111,0.119444444,0.244444444
6,j,1,0.069444444,0.130555556,0.566666667
7,j,1,0,0,4534.886111
8,j,1,0,0,4167.136111
9,(AFL,1,0.233333333,0.116666667,0.494444444
10,j,1,0.255555556,0.108333333,0.141666667
11,j,1,0,0,3470.319444
12,J,1,0.166666667,0.138888889,0.372222222
13,j,1,0,0,4172.144444
14,j,1,0,0,4676.647222
15,j,1,0.238888889,0.138888889,0.186111111
16,N,0,0.075,0.130555556,0.222222222
17,(AFIB,1,0,0,0
18,(AFIB,1,3380.416667,3380.469444,0.211111111
19,j,1,0,0,3468.283333
20,j,1,0.116666667,0.155555556,0.194444444
21,j,1,0,0,3981.191667
22,(AFIB,1,0,0,0
23,j,1,0.138888889,0.163888889,0.227777778
24,j,1,0,0,3832.897222
25,j,1,0.216666667,0.141666667,-4314.347222
26,j,1,0.15,0.069444444,0.177777778
27,J,1,0,0,3422.347222
28,j,1,0,0,4368.194444
29,j,1,0,0,4245.655556
30,j,1,0.094444444,0.144444444,0.252777778
31,(AFIB,1,4180.797222,4180.886111,0.375
32,j,1,0,0,3866.313889
33,N,0,0,0,3969.191667
34,(AFIB,1,0.119444444,0.163888889,0.258333333
35,j,1,0.225,0.169444444,0.133333333
36,j,1,0,0,3881.972222
37,N,0,0.080555556,0.133333333,0.258333333
38,(AFIB,1,0,0,0
39,j,1,0.177777778,0.102777778,0.088888889
40,j,1,0,0,4361.302778
41,J,1,0,0,3392.886111
42,J,1,0,0,3390.211111
43,j,1,0.172222222,0.083333333,0.452777778
44,J,1,0.155555556,0.213888889,0.372222222
45,(AFIB,1,0,0,3939.830556
46,J,1,0.083333333,0.113888889,0.338888889
47,(AFIB,1,0,0,3954.091667
48,j,1,0,0,4678.711111
49,J,1,0.097222222,0.155555556,0.361111111
50,(AFIB,1,0,0,3757.680556
51,N,0,0.191666667,0.261111111,0.308333333
52,N,0,0,0,4727.922222
53,j,1,0,0,3897.325
54,N,0,0.080555556,0.138888889,0.238888889
55,j,1,0,0,4542.394444
56,j,1,0.197222222,0.133333333,0.316666667
57,j,1,0,0,4528.919444
58,j,1,0.136111111,0.080555556,0.488888889
59,J,1,0.122222222,0.188888889,0.269444444
60,(AFL,1,0.280555556,0.119444444,0.266666667
61,(AFIB,1,0.244444444,0.119444444,0.177777778
62,N,0,0.047222222,0.097222222,0.227777778
63,N,0,0.111111111,0.180555556,0.294444444
64,(AFIB,1,0.275,0.133333333,0.116666667
65,j,1,0,0,4450.686111
66,(AFL,1,0,0,4362.563889
67,j,1,0,0,4561.158333
68,J,1,0.180555556,0.116666667,0.352777778
69,j,1,0.175,0.208333333,0.508333333
70,j,1,0.058333333,0.022222222,0.336111111
71,j,1,0,0,4274.025
72,(AFIB,1,0.313888889,0.130555556,0.186111111
73,J,1,0.083333333,0.113888889,0.327777778
74,j,1,0,0,3637.980556
75,(AFL,1,0.277777778,0.122222222,0.311111111
76,N,0,0.052777778,0.094444444,0.197222222
77,j,1,0,0,4595.763889
78,j,1,0.055555556,0.061111111,0.194444444
79,j,1,0.266666667,0.15,0.083333333
80,j,1,0,0,3703.166667
81,j,1,0,0,4545.111111
82,j,1,0,0,3976.872222
83,j,1,0.208333333,0.180555556,0.161111111
84,(AFL,1,0,0,4672.697222
85,(AFL,1,0.219444444,0.113888889,0.397222222
86,(AFIB,1,0.066666667,0.136111111,0.436111111
87,J,1,0.091666667,0.163888889,0.388888889
88,(AFIB,1,0.102777778,0.15,0.238888889
89,j,1,0.188888889,0.244444444,0.4
