,Result,Target,PR_Interval,RR_Interval,RS_Interval
1,N,0,0.077777778,0.136111111,0.197222222
2,N,0,0.075,0.105555556,0.166666667
3,N,0,0,0,3466.244444
4,N,0,0.083333333,0.147222222,0.247222222
5,N,0,0,0,3969.191667
6,N,0,0.075,0.130555556,0.222222222
7,N,0,0.072222222,0.133333333,0.222222222
8,N,0,0.047222222,0.102777778,0.244444444
9,N,0,0.063888889,0.116666667,0.194444444
10,N,0,0.088888889,0.15,0.244444444
11,N,0,0.080555556,0.138888889,0.238888889
12,N,0,0.077777778,0.138888889,0.205555556
13,N,0,0.325,0.230555556,0.180555556
14,N,0,0.086111111,0.144444444,0.275
15,N,0,0.083333333,0.166666667,0.263888889
16,N,0,0.102777778,0.147222222,0.175
17,N,0,0,0,4727.922222
18,N,0,0.052777778,0.094444444,0.197222222
19,N,0,0.052777778,0.108333333,0.230555556
20,N,0,0.069444444,0.125,0.208333333
21,N,0,0.088888889,0.108333333,0.211111111
22,N,0,0.083333333,0.127777778,0.202777778
23,N,0,0.080555556,0.133333333,0.258333333
24,N,0,0.069444444,0.102777778,0.163888889
25,N,0,0.261111111,0.163888889,0.147222222
26,N,0,0.072222222,0.122222222,0.280555556
27,N,0,0.094444444,0.155555556,0.297222222
28,N,0,0.077777778,0.130555556,0.230555556
29,N,0,0.047222222,0.097222222,0.227777778
30,N,0,0.105555556,0.183333333,0.411111111
31,N,0,0.094444444,0.180555556,0.219444444
32,N,0,0.136111111,0.175,0.230555556
33,N,0,0.169444444,0.102777778,0.091666667
34,N,0,0.211111111,0.136111111,0.213888889
35,N,0,0.088888889,0.136111111,0.197222222
36,N,0,0.111111111,0.180555556,0.294444444
37,N,0,4361.377778,4361.427778,0.45
38,N,0,0.075,0.127777778,0.213888889
39,N,0,0.083333333,0.177777778,0.222222222
40,N,0,0.191666667,0.261111111,0.308333333
41,N,0,0.083333333,0.15,0.25
42,N,0,0.244444444,0.161111111,0.058333333
43,N,0,0.055555556,0.077777778,0.161111111
44,N,0,0.072222222,0.152777778,0.255555556
45,N,0,0.072222222,0.1,0.163888889
46,N,0,0.077777778,0.127777778,0.216666667
47,N,0,0.086111111,0.15,0.258333333
48,N,0,0.255555556,0.138888889,0.058333333
49,N,0,0.077777778,0.133333333,0.205555556
50,N,0,0.088888889,0.133333333,0.216666667
51,N,0,0.080555556,0.111111111,0.169444444
52,N,0,0.1,0.15,0.308333333
53,N,0,0.111111111,0.144444444,0.175
54,N,0,0.080555556,0.088888889,0.236111111
55,N,0,0,0,3735.513889
56,N,0,0,0,4888.652778
57,N,0,0.080555556,0.172222222,0.219444444
58,N,0,0.088888889,0.169444444,0.213888889
59,N,0,0.069444444,0.1,0.161111111
60,N,0,0.077777778,0.152777778,0.255555556
61,N,0,0.077777778,0.1,0.152777778
62,N,0,0.080555556,0.130555556,0.197222222
63,N,0,0.055555556,0.105555556,0.225
